"ID","Group","PelDemID","PISCZOOPL","Linf_cm","MaxAge_yr","IsDetritus","Classification","isHub","Class_Code"
1,"Toothed whale","TEP","TEP",380,35,0,"Vulnerable",0,1
2,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1
3,"Seal","TEP","TEP",230,20,0,"Vulnerable",0,1
4,"Seabirds","TEP","TEP",43,35,0,"Vulnerable",0,1
5,"Penguins","TEP","TEP",40,6.5,0,"Vulnerable",0,1
6,"Tuna/billfish","Pelagic","Piscivorous",140,15,0,"Vulnerable",0,1
7,"Pelagic sharks","Pelagic","Piscivorous",400,32,0,"Vulnerable",0,1
8,"Demersal sharks","Demersal","Piscivorous",199,53,0,"Hub",1,7
9,"Rays","Demersal","Piscivorous",201.1,51,0,"Vulnerable",0,1
10,"Warehous","Demersal","Piscivorous",76,15,0,"Target",0,5
11,"Redbait","Demersal","Planktivorous",50,10,0,"Byproduct",0,3
12,"Redfish","Demersal","Planktivorous",51,40,0,"Target",0,5
13,"Ling","Demersal","Piscivorous",200,30,0,"Target",0,5
14,"Dories","Demersal","Piscivorous",51,12,0,"Target",0,5
15,"Jack mackerel","Pelagic","Piscivorous",47,16,0,"Target",0,5
16,"Jackass morwong","Demersal","Piscivorous",70,50,0,"Target",0,5
17,"Flathead","Demersal","Piscivorous",65,14,0,"Target",0,5
18,"Gemfish","Demersal","Piscivorous",135,17,0,"Target",0,5
19,"ShOceanPerch","Demersal","Piscivorous",47,42,0,"Byproduct",0,3
20,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3
21,"Cucumberfish","Demersal","Piscivorous",21,5,0,"Byproduct",0,3
22,"Whiting","Pelagic","Piscivorous",32,11,0,"Hub",1,7
23,"Cardinal","Demersal","Piscivorous",15,15,0,"Byproduct",0,3
24,"ShSmInvertFeeder","Demersal","Planktivorous",78,55,0,"Hub",1,7
25,"ShSmPredator","Demersal","Piscivorous",28,18.5,0,"Hub",1,7
26,"ShMedInvertFeeder","Demersal","Planktivorous",90,50,0,"Byproduct",0,3
27,"ShMedPredator","Demersal","Piscivorous",50,15,0,"Byproduct",0,3
28,"ShLInvertFeeder","Demersal","Planktivorous",200,10,0,"Byproduct",0,3
29,"ShLPredator","Demersal","Piscivorous",200,10,0,"Byproduct",0,3
30,"Blue-eye trevalla","Demersal","Piscivorous",140,42,0,"Target",0,5
31,"Blue grenadier","Pelagic","Piscivorous",110,25,0,"Target",0,5
32,"SlopeOceanPerch","Demersal","Piscivorous",44,62,0,"Byproduct",0,3
33,"Deepsea Cod","Demersal","Piscivorous",80,39,0,"Byproduct",0,3
34,"Oreos","Demersal","Piscivorous",47,100,0,"Target",0,5
35,"SlopeSmInvertFeeder","Demersal","Planktivorous",22,25,0,"Bycatch",0,4
36,"SlopeSmPredator","Demersal","Piscivorous",58,64.5,0,"Bycatch",0,4
37,"SlopeMInverFeeder","Demersal","Planktivorous",55,64.5,0,"Byproduct",0,3
38,"SlopeMPredator","Demersal","Piscivorous",65,11,0,"Byproduct",0,3
39,"SlopeLInvertFeeder","Demersal","Planktivorous",69,9,0,"Byproduct",0,3
40,"SlopeLPredator","Demersal","Piscivorous",205,8,0,"Byproduct",0,3
41,"PelSmInvertFeeder","Pelagic","Planktivorous",15.7,6,0,"Byproduct",0,3
42,"PelMInvertFeeder","Pelagic","Planktivorous",50,16,0,"Byproduct",0,3
43,"PelMPredator","Pelagic","Piscivorous",50,24,0,"Byproduct",0,3
44,"PelLInvertFeeder","Pelagic","Planktivorous",47,16,0,"Byproduct",0,3
45,"PelLPredator","Pelagic","Piscivorous",120,9,0,"Target",0,5
46,"Mesopelagics","Pelagic","Planktivorous",7,3,0,"Hub",1,7
47,"Squid","Invert","Invert",38,1,0,"Hub",1,7
48,"Commercial Prawns","Invert","Invert",5,4,0,"Byproduct",0,3
49,"Macrobenthos","Invert","Invert",10,30,0,"Hub",1,7
50,"Megabenthos","Invert","Invert",27,8,0,"Hub",1,7
51,"Polychaeta","Micro","Micro",10,1,0,"Bycatch",0,4
52,"Gelatinous nekton","Jelly","Jelly",10,0.5,0,"Robust",0,6
53,"Euphausids","Micro","Micro",3,10,0,"Robust",0,6
54,"L zooplankton","Micro","Micro",1,1,0,"Robust",0,6
55,"Sm zooplankton","Micro","Micro",0.1,0.5,0,"Robust",0,6
56,"Primary producers","Phytoplankton","Phytoplankton",0.01,0.3,0,"Robust",0,6
57,"Benthic producer","Macroalgae","Macroalgae",500,7,0,"Habitat",0,2
58,"Detritus","Detritus","Detritus",1,1,1,"Detritus",0,0
59,"Discards","Detritus","Detritus",1,0.2,1,"Detritus",0,0
